,Title,Published_date,Views,Likes,Dislikes,Comments,videoid
193,What It's Like to be a Socially Distanced Data Scientist (A Day in the Life),2020-04-24,15003,454,0,101,lUUqrRgerd8
194,Data Science in Sports - Talk for Northwestern (Kellogg) MBA Students,2020-04-22,3191,85,0,24,ei1m5lDQyBg
195,5 Tips for Crushing the Work From Home Life,2020-04-20,5455,200,0,38,9D7GzskcyUk
196,Data Science Project from Scratch - Part 7 (Documenting Your Work),2020-04-17,22438,749,0,129,agHKuUoMwvY
197,Data Science Project from Scratch -  Part 6 (Putting the Model into Production),2020-04-15,30702,741,0,98,nUOh_lDMHOU
198,Data Science Project from Scratch  - Part 5 (Model Building),2020-04-13,45867,923,0,155,7O4dpR9QMIM
199,Data Science Project from Scratch - Part 4 (Exploratory Data Analysis),2020-04-10,74834,1926,0,214,QWgg4w1SpJ8
200,Data Science Project from Scratch - Part 3 (Data Cleaning),2020-04-08,83707,1791,0,278,fhi4dOhmW-g
201,Data Science Project from Scratch - Part 2 (Data Collection),2020-04-06,134169,3583,0,623,GmW4F6MHqqs
202,Data Science Project from Scratch - Part 1 (Project Planning),2020-04-03,207272,5191,0,173,MpF9HENQjDo
203,When Data Science Goes Wrong,2020-03-30,1821,106,0,30,9ZwVqXUHf6o
204,How to ULTRALEARN Data Science,2020-03-27,62220,3813,0,168,a3VWq9smqhM
205,Why Right NOW is a Great Time to Learn Data Science,2020-03-23,4488,267,0,50,oMdVg6GPODA
206,Data Science Project Example Start to Finish (Deep Learning Image Classifier),2020-03-20,13675,476,0,45,vy-R4oUZaC8
207,The Secret Data Scientists Don't Want You to Know,2020-03-16,10891,1142,0,102,XGBigjVy2Eo
208,The 5 Stages of Learning Data Science,2020-03-13,17637,1297,0,78,hpMc6TgT34I
209,Can You Learn Data Science Without a Computer?,2020-03-11,1899,131,0,14,Fs_LG5Y8GIU
210,The Best Free Data Science Courses Nobody is Talking About,2020-03-09,349388,21222,0,621,Ip50cXvpWY4
211,The Data Science Projects that Got Me a Job,2020-03-06,41493,1397,0,41,imMPnCHvbkY
212,How to Integrate Data Science into Your Business,2020-03-02,3418,128,0,18,3bes4U4MHPg
213,The Problem with Data Science,2020-02-28,3820,153,0,18,qP0hRF-lGqg
214,How Much Did Cheating Help the Astros Win? (What the Numbers Say),2020-02-24,1203,45,0,16,aaAZXeuPIXk
215,How to Set Up Your Data Science Environment (Anaconda Beginner),2020-02-21,137887,2566,0,96,C4OPn58BLaU
216,3 Proven Data Science Projects for Beginners (Kaggle),2020-02-17,333220,17958,0,527,8igH8qZafpo
217,Data Science Advice for College Students,2020-02-14,69170,1965,0,195,xjhW1rSQeik
218,Avoid These Data Science Resume Mistakes!,2020-02-10,28827,1246,0,62,DM1eE_Coh6g
219,Data Science Explained with ... Cooking?,2020-02-07,5490,317,0,48,f6NPw582FFc
220,The 4 Types of Sports Analytics Projects,2020-02-03,33043,1069,0,62,dlZWB2D-NaQ
221,Data Science in Golf: PGA Merchandise Show 2020,2020-01-31,606,18,0,13,foggudmDDvY
222,How I Learned Data Science,2020-01-27,94383,2687,0,210,n3vw0M5RrPU
223,What is Sports Analytics Really?,2020-01-20,22306,632,0,74,2OnXytYziF0
224,Data Science Certificate vs Bootcamp vs Masters Degree,2020-01-18,112639,3150,0,575,Q9FjwzKFPuM
225,How To Learn Programming for Data Science [3 Steps],2020-01-13,30202,1981,0,96,VN12ZPFsApM
226,Data Science Fundamentals: SQL Queries,2020-01-10,6783,218,0,35,WKXtTo7lqmA
227,Questions You Should Ask Your Data Science Interviewers,2020-01-06,3176,150,0,14,9-2OKLZfvbE
228,The 9 Books That Changed My Perspective in 2019,2020-01-03,3405,177,0,25,3TrAYmrmA8o
229,The Data Science Interview: What to Expect,2019-12-30,8709,382,0,32,5SjK6YCs4o4
230,5 Data Science Resolutions for 2020,2019-12-27,476,25,0,12,iqG59TqfFdY
231,How to Scrape NBA Data Using the nba_api Python Module,2019-12-23,18195,630,0,95,NCyPY-jfb3I
232,Collision Course: Sports Betting + Data Science,2019-12-20,19826,529,0,27,DopikusDfk0
233,3 Reasons You Should NOT Become a Data Scientist,2019-12-16,101027,2923,0,204,m5pwx3hgtzM
234,5 Sports Analytics Books to Get You Started,2019-12-13,11472,427,0,60,74Z3F7i4qcI
235,Math Needed for Mastering Data Science,2019-12-09,58162,2907,0,222,zSwM5uVeylU
236,The 5 Stages of Data Science Adoption,2019-12-06,1343,68,0,17,BXmEmIK5aqI
237,How YOU Can Land a Sports Analytics Job,2019-12-02,72302,3160,0,232,SLC5sPZSLY4
238,Data Science Fundamentals: Linear Regression,2019-11-29,6476,174,0,42,EAezvs0eL1s
239,Golf: Would You Rather Be the LONGEST or STRAIGHTEST Driver on the PGA Tour?,2019-11-25,1196,54,0,12,k4r_NtB4JVQ
240,Sports Analytics 101: The Pythagorean Theorem of Sports,2019-11-22,6613,281,0,26,ZWdyBbgGZBQ
241,9 Ways You Can Make Extra Income as a Data Scientist,2019-11-18,46677,1760,0,79,1FrY7ARSf10
242,Applying Data Science To My YouTube Data: My Surprising Findings,2019-11-11,5986,139,0,31,LGEuDWjWQes
243,Why Selling Is An Important Data Science Skill,2019-11-04,1659,81,0,13,fjVVtvp5X0w
244,By The Numbers: Where Should The NBA Put a 4 Point Line?,2019-10-21,2984,72,0,18,-kX2b6TF_9k
245,Why is Balance Important in Data Science?,2019-10-16,718,32,0,13,3ysXGYjvbSU
246,How to Stay Productive & Motivated When Learning Data Science,2019-09-29,12048,583,0,55,akbU9KOo_Qc
247,How Far Should the NBA 3-Point Line Actually Be?,2019-09-21,4188,120,0,35,3BEtGaz70rQ
248,6 Habits of Successful Data Scientists,2019-09-13,2265,97,0,17,RRXWJVX0fE8
249,How To Build A Word Cloud From Scraped Data (Python),2019-09-04,5027,105,0,10,k-gin1qfzi0
250,Thank You For The Support | What's Next | Ken Jee | Data Science,2019-08-26,522,24,0,29,Zz_Mx1UPswI
251,Is Data Science Right For You?,2019-08-18,52278,1191,0,109,3Mm1U1CbzNw
252,Data Science Fundamentals: Data Cleaning in Python,2019-08-11,15238,394,0,55,4yI3vVe0Jos
253,How To Get Data Science Experience (Without a Job),2019-08-08,29921,1390,0,77,pWVQ0vN5uig
